[L3G12I2S6] AccessKeyPressedEventArgs
[L6G0I9] AccessText
[L7G2I0] ActiveXHost
[L6G0I9S1] AdormedElementPlaceholder
[L7G0I8] Adorner
[L7G8I0S0] AdornerContainer
[L7G4I0S4] AdornerDecorator
[L3G24I0S0] AdornerHitTestResut
[L6G0I9S13] AdornerLayer
[L7G16I0] AffineTransform3D
[L7G15I1S0] AmbientLight
[L7G28I1] AnchoredBlock
[L4G1I0] Animatable
[L3G8I0S0] AnimationClock
[L6G3I0] AnimationTimeline
[L2G13I0S1] AnnotationDocumemtPagnator
[L2G0I12S9] AnnotationService
[L1G0I25] AnnotationStore
[L2G0I12S8] Application
[L6G15I0S0] ArcSegment
[L2G2I2S6] ArrayExtension
[L6G12I0] AttachableCollection
[L2G7I0] AttachedPropertyBrowsableAttibute
[L3G26I0S0] AttachedPropertyBrowsableForChildrenAttribute
[L3G26I0S1] AttachedPropertyBrowsableForTypeAttribute
[L3G26I0S2] AttachedPropertyBrowsableWhenAttributePresentAttribute
[L1G0I7] Attribute
[L2G0I1] AutomationPeer
[L6G20I0S0] AxisAngleRotation3D

[L5G26I0S3] BackEase
[L2G32I0S0] Baml2006Reader
[L2G3I0] BaseIListConverter
[L4G5I1S1] BeginStoryboard
[L6G6I2S0] Behavior
[L7G25I0] BehaviorCollection
[L6G19I0S1] BevelBitmapEffect
[L6G15I0S1] BezierSegment
[L3G19I0S0] Binding
[L2G2I1] BindingBase
[L3G27I0S0] BindingExpression
[L2G8I0] BindingExpressionBase
[L3G0I9S4] BindingGroup
[L3G11I0S1] BindingListCollectionView
[L6G16I0S0] BitmapCache
[L6G7I2S0] BitmapCacheBrush
[L2G0I9] BitmapDecoder
[L5G2I18] BitmapEffect
[L5G2I25S8] BitmapEffectCollection
[L6G19I0S0] BitmapEffectGroup
[L5G2I25S6] BitmapEffectInput
[L2G0I10] BitmapEncoder
[L7G22I0S0] BitmapFrame
[L7G22I0S1] BitmapImage
[L5G3I0] BitmapMetadata
[L2G0I12S7] BitmapPalette
[L6G9I0] BitmapSource
[L6G27I1] Block
[L1G0I9] BlockElement
[L7G29I0S0] BlockUIContainer
[L6G19I0S2] BlurBitmapEffect
[L6G11I1S0] BlurEffect
